"date","NGas","oil","coal"
2011-09-08,0.56,0.1,-0.35
2011-09-09,-0.3,-1.43,-0.75
2011-09-12,-0.45,-1.41,-0.65
2011-09-13,-0.5,-0.46,-0.45
2011-09-14,-0.22,-0.6,-0.5
2011-09-15,0.17,3.4,0.35
2011-09-16,-0.47,-1.85,0.25
2011-09-19,0.09,-2.14,-0.35
2011-09-20,0.14,-0.52,0.05
2011-09-21,-0.33,0.85,0.15
2011-09-22,-0.21,-2.94,-0.2
2011-09-23,-0.32,-2.5,-0.2
2011-09-26,-0.65,-1.66,0.2
2011-09-27,0.01,2.2,-0.3
2011-09-28,0.69,-0.13,0.25
2011-09-29,-0.15,-1.59,-0.05
2011-09-30,2.11,-0.91,-1.15
2011-10-03,-0.08,-2.11,-2.75
2011-10-04,0.34,-0.39,-1.95
2011-10-05,-0.42,0.43,0.45
2011-10-06,-0.35,3.04,0.6
2011-10-07,-0.5,0.76,-0.2
2011-10-10,0.25,2.86,0.15
2011-10-11,0.3,1.74,-0.35
2011-10-12,0,1.76,0.4
2011-10-13,-0.75,-1.13,-0.9
2011-10-14,0.2,2.93,-0.15
2011-10-17,0,-0.94,0.1
2011-10-18,-0.42,-1.97,-1.25
2011-10-19,-0.21,-0.04,-1.35
2011-10-20,-0.12,-1.68,0.3
2011-10-21,0.5,1.71,0.8
2011-10-24,-0.05,-0.28,0.8
2011-10-25,-0.47,0.55,0.05
2011-10-26,-0.38,-0.37,0
2011-10-27,0.24,1.01,0.05
2011-10-28,-0.23,-0.56,0.35
2011-10-31,1.09,-1.9,0.3
2011-11-01,-0.05,-0.65,-1.8
2011-11-02,-0.35,1.79,0.4
2011-11-03,-0.15,-0.23,0.5
2011-11-04,0.25,1.24,0.35
2011-11-07,0.85,2.75,0.35
2011-11-08,-0.2,1.25,-0.7
2011-11-09,-0.7,-0.73,-0.75
2011-11-10,-0.15,-1.62,-0.35
2011-11-11,-0.3,0.78,-0.25
2011-11-14,-0.2,-0.08,0.05
2011-11-15,0.05,-1.69,0
2011-11-16,0.08,-0.64,0.2
2011-11-17,-0.18,-0.52,-0.4
2011-11-18,-0.25,-1.99,-0.2
2011-11-21,0.2,-2.25,0.35
2011-11-22,-0.15,1.71,-1.15
2011-11-23,-0.17,-0.6,-0.65
2011-11-24,-0.18,-0.76,1.55
2011-11-25,-0.1,-0.3,-0.25
2011-11-28,-0.05,1.7,-3.95
2011-11-29,-0.25,1.51,-0.25
2011-11-30,0.35,1.03,1.05
2011-12-01,-0.7,-0.79,0
2011-12-02,-0.06,-0.83,0.1
2011-12-05,-0.29,1.21,-0.1
2011-12-06,-0.1,-0.66,-0.25
2011-12-07,0.1,0.53,-0.45
2011-12-08,0.54,-0.82,-0.35
2011-12-09,0.46,-1.68,0.15
2011-12-12,-0.44,-0.24,0.2
2011-12-13,0.34,2.35,0.15
2011-12-14,-0.25,-1.6,-0.5
2011-12-15,-0.35,-3,-0.3
2011-12-16,-0.13,-1.94,0.15
2011-12-19,-0.22,0.01,-0.55
2011-12-20,0.15,2.7,0.7
2011-12-21,0,0.9,0
2011-12-22,0.1,0.33,0.15
2011-12-23,-0.2,0.05,0.1
2011-12-28,-0.3,0.95,-0.5
2011-12-29,-0.55,-1.4,-0.45
2011-12-30,0.25,0.15,-0.15
2012-01-03,-0.65,4.19,-0.85
2012-01-04,0.17,1.53,0.2
2012-01-05,-0.07,0.67,0.55
2012-01-06,-0.08,-0.96,0.1
2012-01-09,0.78,0.2,-0.85
2012-01-10,-0.17,0.13,-0.5
2012-01-11,0.27,-0.25,-0.7
2012-01-12,-0.28,1.36,-0.4
2012-01-13,-0.21,-2.62,-1.8
2012-01-16,-0.66,-0.83,-2.25
2012-01-17,-0.15,1.09,0.6
2012-01-18,-0.05,-0.56,1.35
2012-01-19,0.05,-0.45,0.6
2012-01-20,0.49,0.31,0.1
2012-01-23,0.11,-0.7,-0.2
2012-01-24,0.28,-0.25,-0.05
2012-01-25,0.07,-0.22,0.05
2012-01-26,-0.35,1,-0.05
2012-01-27,0.7,0.1,-0.3
2012-01-30,1.5,-0.21,-0.3
2012-01-31,-0.9,2.12,-0.75
2012-02-01,0.3,-1.08,-3.7
2012-02-02,0.8,-0.26,0.5
2012-02-03,0.3,2.15,-0.35
2012-02-06,-0.15,1.97,-0.45
2012-02-07,0.25,0.82,-0.9
2012-02-08,-0.45,0.47,-0.9
2012-02-09,-0.42,0.82,0
2012-02-10,-0.1,-0.18,-0.7
2012-02-13,-0.98,0,-0.15
2012-02-14,-0.1,-0.33,0.6
2012-02-15,0.75,1.71,-0.1
2012-02-16,0.32,0.39,0.3
2012-02-17,0.03,0.32,0.25
2012-02-20,-0.4,0.45,0.25
2012-02-21,0.1,0.73,-0.05
2012-02-22,0.7,1.35,0.1
2012-02-23,-0.05,1.27,0.05
2012-02-24,0.1,1.05,-0.1
2012-02-27,0.8,-0.04,1.35
2012-02-28,-0.5,-1.56,-1.6
2012-02-29,-0.2,-0.75,-1.5
2012-03-01,0.17,5.2,-0.7
2012-03-02,-0.37,-2.24,-0.4
2012-03-05,-0.3,-1.5,0.2
2012-03-06,-0.25,-0.27,0
2012-03-07,0.3,0.06,0.65
2012-03-08,0.65,1.89,0.75
2012-03-09,0.23,0.03,-0.5
2012-03-12,-0.53,-0.39,-0.4
2012-03-13,0.2,0.81,0.05
2012-03-14,0.5,-0.11,-0.6
2012-03-15,-0.35,-1.33,-0.1
2012-03-16,0.35,0.81,0.1
2012-03-19,0.5,-0.11,0.35
2012-03-20,-0.2,-0.61,-0.15
2012-03-21,-0.4,-0.64,0.1
2012-03-22,-0.27,-0.55,-0.15
2012-03-23,-0.33,2.81,-0.2
2012-03-26,0.1,-1.17,0
2012-03-27,0.1,0.29,0.45
2012-03-28,0.55,-1,0.25
2012-03-29,0.28,-0.54,0.95
2012-03-30,0.22,-0.57,0.7
2012-04-02,-0.5,1.56,2.3
2012-04-03,-0.4,0.34,-1.5
2012-04-04,-0.2,-0.98,-1.45
2012-04-05,0.13,-1.45,0.05
2012-04-10,-0.18,-0.71,-0.65
2012-04-11,0.35,-2.03,-0.65
2012-04-12,0.15,1.12,-0.2
2012-04-13,0.15,0.08,0.6
2012-04-16,-0.6,-1,-0.65
2012-04-17,0.05,-1.66,-0.15
2012-04-18,-0.2,-0.49,-0.1
2012-04-19,0.15,0.3,-0.4
2012-04-20,0.2,0.54,0.3
2012-04-23,0.15,-0.78,-0.1
2012-04-24,-0.55,0.03,0.1
2012-04-25,0,0.31,-0.15
2012-04-26,-0.16,0.92,0
2012-04-27,0.26,-0.22,-0.1
2012-04-30,0.75,-0.16,-5.1
2012-05-01,0.28,0.23,-1.85
2012-05-02,-0.38,-0.22,-0.65
2012-05-03,-0.27,-1.35,0.6
2012-05-04,0.15,-2.16,-0.35
2012-05-08,-0.23,-2.65,-1.75
2012-05-09,0.25,-0.37,0.6
2012-05-10,0,0.37,0.15
2012-05-11,-0.15,-0.84,0.4
2012-05-14,-0.2,-0.73,-0.45
2012-05-15,0.2,0.6,-0.05
2012-05-16,-0.4,-0.57,-0.55
2012-05-17,-0.45,-1.95,-0.05
2012-05-18,-0.3,-2.16,-0.4
2012-05-21,-0.07,1.44,-0.4
2012-05-22,0.12,-0.07,-0.75
2012-05-23,-0.1,-1.2,-0.35
2012-05-24,-0.05,-0.91,0
2012-05-25,0,-0.01,1.35
2012-05-28,0.61,0.8,1.15
2012-05-29,0.24,-0.09,0.9
2012-05-30,-0.65,-1.13,0.45
2012-05-31,0.1,-2.66,-0.75
2012-06-01,-0.3,-2.21,-0.2
2012-06-06,0.3,-0.56,-0.85
2012-06-07,0.1,1.06,-0.35
